AREA_NAME,AREA_SHORT_CODE,Average Total Income,Median Age,Average Household Size,Total private dwellings,Average Commute Time,"Car, truck, van - as a driver %","Car, truck, van - as a passenger %",Public transit %,Walked %,Bicycle %,Single-detached house %,Apartment in a building w/ >= 5 stories %,Semi-detached house %,Row house %,Apartment or flat in a duplex %,Apartment in a building w/ < 5 stories %,"No certificate, diploma or degree",Secondary (high) school diploma or equivalent,"Postsecondary certificate, diploma or degree"
Cabbagetown-South St. James Town,71,63012.0,41.22690058479533,1.71,6761,30.038810900082577,0.2138728323699422,0.01981833195706028,0.3319570602807597,0.2981007431874484,0.11725846407927333,0.024844720496894408,0.5240683229813664,0.07142857142857142,0.09782608695652174,0.024844720496894408,0.2546583850931677,0.03546592489568846,0.16620305980528513,0.8004172461752433
Caledonia-Fairbank,109,35112.0,41.263312986739635,2.69,3935,41.225806451612904,0.41818181818181815,0.09494949494949495,0.4303030303030303,0.03232323232323232,0.014141414141414142,0.4559023066485753,0.04477611940298507,0.11804613297150611,0.005427408412483039,0.11940298507462686,0.25508819538670285,0.2767932489451477,0.2489451476793249,0.4759493670886076
Casa Loma,96,165047.0,41.263312986739635,2.0,5833,30.390962671905697,0.40078585461689586,0.025540275049115914,0.38703339882121807,0.1237721021611002,0.04223968565815324,0.16173752310536044,0.4953789279112754,0.048983364140480594,0.036968576709796676,0.02865064695009242,0.22643253234750463,0.019409282700421943,0.12067510548523207,0.8616033755274262
Centennial Scarborough,133,54045.0,41.22690058479533,3.05,4439,40.749594813614266,0.6410048622366289,0.05672609400324149,0.2714748784440843,0.017828200972447326,0.0,0.8013698630136986,0.0,0.0365296803652968,0.11073059360730593,0.03424657534246575,0.0136986301369863,0.04737975592246949,0.19885139985642497,0.7537688442211056
Church-Yonge Corridor,75,53583.0,42.026898734177216,1.54,21983,28.43574186431329,0.1491590846429556,0.013509787703336091,0.38599393438103113,0.4011579818031431,0.0380479735318445,0.0005081300813008131,0.9174288617886179,0.0012703252032520325,0.011178861788617886,0.0022865853658536584,0.06504065040650407,0.0329849012775842,0.12938443670150987,0.8383275261324041
Clairlea-Birchmount,120,36232.0,41.263312986739635,2.84,9529,39.46768982229402,0.47296206618240516,0.04519774011299435,0.43866020984665055,0.02744148506860371,0.007263922518159807,0.3389189189189189,0.21243243243243243,0.10972972972972973,0.11297297297297297,0.07837837837837838,0.14216216216216215,0.11424775821986051,0.24908668216539356,0.6353370973098639
Clanton Park,33,51181.0,41.263312986739635,2.51,6881,35.0359133126935,0.5195046439628483,0.0346749226006192,0.4,0.02476780185758514,0.009907120743034056,0.36717557251908395,0.3534351145038168,0.0015267175572519084,0.0022900763358778627,0.08473282442748091,0.1916030534351145,0.04113247863247863,0.19604700854700854,0.7633547008547008
Cliffcrest,123,44718.0,41.263312986739635,2.68,6094,38.32965415746873,0.5842531272994849,0.03826342899190582,0.34142752023546724,0.025018395879323033,0.0051508462104488595,0.5723962743437765,0.2260795935647756,0.009314140558848433,0.07366638441998306,0.07959356477561388,0.027095681625740897,0.08441558441558442,0.26977567886658793,0.6463990554899646
Corso Italia-Davenport,92,41717.0,41.263312986739635,2.56,5903,39.30509641873278,0.4107512060647829,0.06891798759476224,0.4162646450723639,0.04548587181254307,0.04893177119228118,0.2256596906278435,0.0,0.22383985441310283,0.01910828025477707,0.11101000909918107,0.4067333939945405,0.19455703532136653,0.21656050955414013,0.5888824551244933
Danforth,66,55225.0,41.22690058479533,2.44,4108,34.67245119305856,0.3347778981581798,0.03358613217768147,0.4962080173347779,0.06392199349945829,0.06392199349945829,0.17452229299363056,0.0840764331210191,0.3159235668789809,0.007643312101910828,0.05477707006369427,0.3592356687898089,0.08581752484191509,0.17524841915085818,0.7389340560072267
Danforth East York,59,51846.0,41.22690058479533,2.43,7275,34.74611076540137,0.4206596141879278,0.04418170504044804,0.4194150591163659,0.05289359054138146,0.049782202862476664,0.4131054131054131,0.12535612535612536,0.24216524216524216,0.004985754985754986,0.07834757834757834,0.1346153846153846,0.08162243365047571,0.18577866800200302,0.7325988983475212
Don Valley Village,47,37379.0,41.263312986739635,2.69,10196,39.93115468409586,0.5091463414634146,0.04442508710801394,0.4011324041811847,0.03266550522648084,0.0017421602787456446,0.21253132832080202,0.5644110275689223,0.03609022556390978,0.1418546365914787,0.014536340852130326,0.030576441102756893,0.05498167277574142,0.16594468510496502,0.7790736421192935
Dorset Park,126,31692.0,41.263312986739635,2.78,8995,38.47117566954154,0.5065819337267363,0.05447117566954154,0.38629142078983203,0.03994552882433046,0.004993191103041307,0.24259681093394078,0.4293849658314351,0.038154897494305236,0.1776765375854214,0.05808656036446469,0.05296127562642369,0.1403254972875226,0.25786618444846293,0.6025316455696202
Dovercourt-Wallace Emerson-Junction,93,39740.0,41.95635910224439,2.37,16248,36.64274489261393,0.3051335777894185,0.042954426401257205,0.4688318491356731,0.06364588789942378,0.1037192247249869,0.10679294578706727,0.1479425212279556,0.1338994121489223,0.07446113651208361,0.07413455258001306,0.4490529065969954,0.14468357127636905,0.21372256552311955,0.6418069465160878
Downsview-Roding-CFB,26,34168.0,41.263312986739635,2.67,14244,39.0674504950495,0.519950510361893,0.06557377049180328,0.37643055985153107,0.02845654191153727,0.0006186204763377668,0.3299047619047619,0.23504761904761906,0.07047619047619047,0.04914285714285714,0.03238095238095238,0.2834285714285714,0.20506852857512284,0.2787690716317559,0.5153866046030514
Dufferin Grove,83,40588.0,41.95635910224439,2.15,5815,35.47063492063492,0.26290706910246225,0.02938840349483717,0.4781572676727562,0.09531374106433678,0.12311358220810167,0.05703771849126035,0.24563017479300828,0.09199632014719411,0.020239190432382703,0.07359705611775529,0.49678012879484823,0.13040712468193386,0.1787531806615776,0.6902035623409669
East End-Danforth,62,54324.0,41.22690058479533,2.29,9535,37.22360557768924,0.41243781094527365,0.03631840796019901,0.4388059701492537,0.06069651741293532,0.03631840796019901,0.19281045751633988,0.22712418300653595,0.21241830065359477,0.06481481481481481,0.0528322440087146,0.2440087145969499,0.07881188118811881,0.1794059405940594,0.7425742574257426
Edenbridge-Humber Valley,9,101551.0,41.263312986739635,2.43,6606,36.28047921071177,0.6328400281888654,0.048625792811839326,0.2832980972515856,0.02466525722339676,0.005637773079633545,0.4084732214228617,0.3844924060751399,0.013589128697042365,0.020783373301358914,0.006394884092725819,0.16546762589928057,0.05371152685576343,0.2088111044055522,0.7380808690404346
Eglinton East,138,30033.0,41.263312986739635,2.81,8199,41.706199460916444,0.4252563410685375,0.04803022126281705,0.49595250944414465,0.021046950890447922,0.0010793308148947653,0.19393556538218573,0.6272899557801642,0.015161086544535692,0.06443461781427669,0.0739102969046115,0.024636765634870498,0.15323257766582704,0.27371956339210746,0.572208228379513
Elms-Old Rexdale,5,32012.0,41.263312986739635,2.93,3344,37.649752475247524,0.580964153275649,0.06180469715698393,0.3288009888751545,0.0173053152039555,0.004944375772558714,0.30745341614906835,0.42701863354037267,0.021739130434782608,0.15993788819875776,0.062111801242236024,0.020186335403726708,0.15736040609137056,0.33908629441624366,0.5035532994923858
Englemount-Lawrence,32,48134.0,41.263312986739635,2.65,8858,35.04311310190369,0.43609865470852016,0.029708520179372196,0.4422645739910314,0.06614349775784753,0.00952914798206278,0.23104912067919953,0.36749545178896303,0.0036385688295936932,0.03214069132807762,0.061855670103092786,0.30442692540933897,0.07116279069767442,0.2069767441860465,0.7218604651162791
Eringate-Centennial-West Deane,11,47002.0,41.22690058479533,2.7,6977,34.2400461627236,0.690132717830352,0.05366416618580496,0.224466243508367,0.0207732256203116,0.004039238315060588,0.5717407137654771,0.2600145666423889,0.05243991260014567,0.08812818645302258,0.01820830298616169,0.010924981791697014,0.07022039979497693,0.2265504869297796,0.7042542286007176
